path,sentence,sentence_transcript,sentence_tokenized,sentence_transcript_tokenized,wer,cer
common_voice_it_17415772.mp3,La teoria della tettonica delle placche fu accettata solo 30 anni fa., La teoria della tettonica delle placche fu accettata solo 30 anni fa.,"['la', 'teoria', 'della', 'tettonica', 'delle', 'placche', 'fu', 'accettata', 'solo', '30', 'anni', 'fa', '.']","['la', 'teoria', 'della', 'tettonica', 'delle', 'placche', 'fu', 'accettata', 'solo', '30', 'anni', 'fa', '.']",0.0,
common_voice_it_17415801.mp3,Fare il becco all'oca e le corna al potestà., Grazie.,"['fare', 'il', 'becco', ""all'oca"", 'e', 'le', 'corna', 'al', 'potestà', '.']","['grazie', '.']",0.9,0.8888888888888888
common_voice_it_17415808.mp3,"La si può differenziare in 2 fasi, che saranno esattamente opposte a quelle del dorso.", la si può differenziare in,"['la', 'si', 'può', 'differenziare', 'in', '2', 'fasi', ',', 'che', 'saranno', 'esattamente', 'opposte', 'a', 'quelle', 'del', 'dorso', '.']","['la', 'si', 'può', 'differenziare', 'in']",0.7058823529411765,0.6944444444444444
common_voice_it_17415809.mp3,La vecchia impara fino a 100 anni., La vecchia impara fino a 100 anni.,"['la', 'vecchia', 'impara', 'fino', 'a', '100', 'anni', '.']","['la', 'vecchia', 'impara', 'fino', 'a', '100', 'anni', '.']",0.0,
common_voice_it_17415821.mp3,"trovandosi ancora al sicuro tra le montagne, questo non scarseggiava e non c’era bisogno di razionare i pasti."," Trovandosi ancora al sicuro tra le montagne, questo non scarseggiava e non c'era bisogno di razionare i cibi.","['trovandosi', 'ancora', 'al', 'sicuro', 'tra', 'le', 'montagne', ',', 'questo', 'non', 'scarseggiava', 'e', 'non', 'c', '’', 'era', 'bisogno', 'di', 'razionare', 'i', 'pasti', '.']","['trovandosi', 'ancora', 'al', 'sicuro', 'tra', 'le', 'montagne', ',', 'questo', 'non', 'scarseggiava', 'e', 'non', ""c'era"", 'bisogno', 'di', 'razionare', 'i', 'cibi', '.']",0.18181818181818182,0.053763440860215055
common_voice_it_17415824.mp3,"Il presente servizio è volto a consentire agli esercenti commerciali, di incassare i buoni connessi all’utilizzo del bonus del valore di 500€.", Il presente servizio è volto a consentire agli esercenti commerciali di incassare i buoni connessi all'utilizzo del bonus del valore di 500 euro.,"['il', 'presente', 'servizio', 'è', 'volto', 'a', 'consentire', 'agli', 'esercenti', 'commerciali', ',', 'di', 'incassare', 'i', 'buoni', 'connessi', 'all', '’', 'utilizzo', 'del', 'bonus', 'del', 'valore', 'di', '500€', '.']","['il', 'presente', 'servizio', 'è', 'volto', 'a', 'consentire', 'agli', 'esercenti', 'commerciali', 'di', 'incassare', 'i', 'buoni', 'connessi', ""all'utilizzo"", 'del', 'bonus', 'del', 'valore', 'di', '500', 'euro', '.']",0.23076923076923078,0.049586776859504134
common_voice_it_17415855.mp3,"Finalmente, alle sei del mattino, di quel memorabile 19 marzo, si aprì la porta della sala e apparve il capitano Nemo."," Finalmente, alle sei del mattino di quel memorabile 19 marzo, si aprì la porta della sala e apparve il capitano Nemo.","['finalmente', ',', 'alle', 'sei', 'del', 'mattino', ',', 'di', 'quel', 'memorabile', '19', 'marzo', ',', 'si', 'aprì', 'la', 'porta', 'della', 'sala', 'e', 'apparve', 'il', 'capitano', 'nemo', '.']","['finalmente', ',', 'alle', 'sei', 'del', 'mattino', 'di', 'quel', 'memorabile', '19', 'marzo', ',', 'si', 'aprì', 'la', 'porta', 'della', 'sala', 'e', 'apparve', 'il', 'capitano', 'nemo', '.']",0.04,0.01020408163265306
common_voice_it_17415869.mp3,"Conoscere altre persone che hanno passioni simili alle mie, che portano avanti degli obiettivi attraverso delle community e sono pronte a condividere le loro esperienze con gli altri in maniera spontanea, inclusiva, libera e aperta è per me veramente fantastico."," Conoscere altre persone che hanno passioni simili alle mie, che portano avanti degli obiettivi attraverso delle community.","['conoscere', 'altre', 'persone', 'che', 'hanno', 'passioni', 'simili', 'alle', 'mie', ',', 'che', 'portano', 'avanti', 'degli', 'obiettivi', 'attraverso', 'delle', 'community', 'e', 'sono', 'pronte', 'a', 'condividere', 'le', 'loro', 'esperienze', 'con', 'gli', 'altri', 'in', 'maniera', 'spontanea', ',', 'inclusiva', ',', 'libera', 'e', 'aperta', 'è', 'per', 'me', 'veramente', 'fantastico', '.']","['conoscere', 'altre', 'persone', 'che', 'hanno', 'passioni', 'simili', 'alle', 'mie', ',', 'che', 'portano', 'avanti', 'degli', 'obiettivi', 'attraverso', 'delle', 'community', '.']",0.5681818181818182,0.5246636771300448
common_voice_it_17415870.mp3,"Sebbene molte biblioteche tedesche avessero familiarizzato con il tema del libero accesso già da tempo, poche di esse avevano poi in concreto utilizzato una simile forma di pubblicazione per i propri contenuti."," Sebbene molte biblioteche tedesche avessero familiarizzato con il tema del libero accesso già da tempo,","['sebbene', 'molte', 'biblioteche', 'tedesche', 'avessero', 'familiarizzato', 'con', 'il', 'tema', 'del', 'libero', 'accesso', 'già', 'da', 'tempo', ',', 'poche', 'di', 'esse', 'avevano', 'poi', 'in', 'concreto', 'utilizzato', 'una', 'simile', 'forma', 'di', 'pubblicazione', 'per', 'i', 'propri', 'contenuti', '.']","['sebbene', 'molte', 'biblioteche', 'tedesche', 'avessero', 'familiarizzato', 'con', 'il', 'tema', 'del', 'libero', 'accesso', 'già', 'da', 'tempo', ',']",0.5294117647058824,0.5027932960893855
common_voice_it_17415965.mp3,"Tildor ascoltò con pazienza le lamentele, poi infilò nelle mani dell’oste cinque monete d’oro e quello si azzittì subito, ringraziando e facendo un goffo inchino: era di certo più oro di quanto ne avesse mai visto in vita sua."," Tildor ascoltò con pazienza le lamentele, poi infilò nelle mani dell'oste cinque monete d'oro e quello si azzitti subito.","['tildor', 'ascoltò', 'con', 'pazienza', 'le', 'lamentele', ',', 'poi', 'infilò', 'nelle', 'mani', 'dell', '’', 'oste', 'cinque', 'monete', 'd', '’', 'oro', 'e', 'quello', 'si', 'azzittì', 'subito', ',', 'ringraziando', 'e', 'facendo', 'un', 'goffo', 'inchino', ':', 'era', 'di', 'certo', 'più', 'oro', 'di', 'quanto', 'ne', 'avesse', 'mai', 'visto', 'in', 'vita', 'sua', '.']","['tildor', 'ascoltò', 'con', 'pazienza', 'le', 'lamentele', ',', 'poi', 'infilò', 'nelle', 'mani', ""dell'oste"", 'cinque', 'monete', ""d'oro"", 'e', 'quello', 'si', 'azzitti', 'subito', '.']",0.6170212765957447,0.46808510638297873
